name,address,phone,type,district,latitude,longitude,city_center_latitude,city_center_longitude,location_precision
Isanpur PS,"Bhairavnath Isanpur Road, Isanpur, Ahmedabad - 382443",079-25430180,police,Ahmedabad,23.032991,72.595937,23.0215374,72.5800568,city
Kagdapith PS,"Opposite New Cloth Market, Raipur Gate, Kalupur, Ahmedabad - 380002",079-25454446,police,Ahmedabad,23.018065,72.574066,23.0215374,72.5800568,city
Kalupur PS,"Relief Road, Dhanasuthar Char Rasta, Kalupur, Ahmedabad - 380002",079-22122870,police,Ahmedabad,23.008685,72.592776,23.0215374,72.5800568,city
Karanj PS,"Karanj Bhavan, Bhadra Fort, Lal Darwaja, Ahmedabad - 380001",079-25507580,police,Ahmedabad,23.017699,72.5856,23.0215374,72.5800568,city
Khadiya PS,"Near Raipur Gate, Astodia, Ahmedabad - 380001",079-22142828,police,Ahmedabad,23.009855,72.59556,23.0215374,72.5800568,city
Khokhra PS,"Khokhra Circle, Near Anupam Cinema, Ahmedabad - 380008",079-22761168,police,Ahmedabad,23.031343,72.596972,23.0215374,72.5800568,city
Krishnanagar PS,"Krishnanagar Main Road, Naroda, Ahmedabad - 382345",079-22821451,police,Ahmedabad,23.017952,72.59248,23.0215374,72.5800568,city
Madhavpura PS,"Mehdi Kuva Cross Road, Madhupura, Ahmedabad - 380004",079-25628694,police,Ahmedabad,23.029829,72.586892,23.0215374,72.5800568,city
Mahila PS (East/West),"Mithakhali Circle, Juna Karanj, Bhadra, Ahmedabad - 380001",079-26303702,police,Ahmedabad,23.003856,72.586597,23.0215374,72.5800568,city
Maninagar PS,"Rambaug Road, Opp. Fire Brigade, Maninagar, Ahmedabad - 380008",079-25460089,police,Ahmedabad,23.032084,72.575094,23.0215374,72.5800568,city
Meghaninagar PS,"Mental Hospital Compound, Meghaninagar, Ahmedabad - 380016",079-22681555,police,Ahmedabad,23.032267,72.576362,23.0215374,72.5800568,city
Naranpura PS,"Opposite Post Office, Naranpura Part-2, Ahmedabad - 380013",079-27472043,police,Ahmedabad,23.016618,72.563342,23.0215374,72.5800568,city
Naroda PS,"Near AMTS Bus Stand, Naroda Highway, Ahmedabad - 382330",079-22821480,police,Ahmedabad,23.033173,72.573148,23.0215374,72.5800568,city
Navrangpura PS,"Near Bus Stop, Navrangpura Road, Zone-1, Ahmedabad - 380009",079-26463568,police,Ahmedabad,23.008436,72.569218,23.0215374,72.5800568,city
Nikol PS,"Nikol-Naroda Road, Nikol, Ahmedabad - 382350",079-29292647,police,Ahmedabad,23.003064,72.580186,23.0215374,72.5800568,city
Odhav PS,"Near Adinath Nagar, GIDC, Odhav, Ahmedabad - 382415",079-22971718,police,Ahmedabad,23.017514,72.575363,23.0215374,72.5800568,city
Paldi PS,"Khadigrama Udhoyg Bhavan, Paldi, Ahmedabad - 380007",079-26645300,police,Ahmedabad,23.012313,72.572772,23.0215374,72.5800568,city
Rakhiyal PS,"Near Gomtipur, Rakhial Road, Ahmedabad - 380025",079-22733600,police,Ahmedabad,23.03903,72.574709,23.0215374,72.5800568,city
Ramol PS,"Ramol Road, Opposite Ramol Police Station, Ramol, Ahmedabad - 382449",079-25850300,police,Ahmedabad,23.01425,72.591109,23.0215374,72.5800568,city
Ranip PS,"Near Gayatri School, Ranip, Ahmedabad - 382480",079-27551010,police,Ahmedabad,23.010554,72.588546,23.0215374,72.5800568,city
Sabarmati PS,"Near Sabarmati Railway Station, Sabarmati, Ahmedabad - 380005",079-27517166,police,Ahmedabad,23.032507,72.586441,23.0215374,72.5800568,city
Sardarnagar PS,"Near Airport, Sardar Nagar, Ambawadi, Ahmedabad - 382475",079-22864345,police,Ahmedabad,23.022416,72.570401,23.0215374,72.5800568,city
Satellite PS,"Ramdevnagar Cross Road, Satellite, Ahmedabad - 380015",079-26860333,police,Ahmedabad,23.025931,72.585994,23.0215374,72.5800568,city
Shaherkotda PS,"Saraspur, Shaherkotda, Ahmedabad - 380018",079-22926338,police,Ahmedabad,23.031581,72.57772,23.0215374,72.5800568,city
Shahibaug PS,"Near Shahibaug Underbridge, Shahibaug, Ahmedabad - 380004",079-22868025,police,Ahmedabad,23.023895,72.598987,23.0215374,72.5800568,city
Shahpur PS,"Shahpur Bahai Centre, Shahpur, Ahmedabad - 380001",079-25600545,police,Ahmedabad,23.015721,72.594823,23.0215374,72.5800568,city
Sola High Court PS,"SG Highway, Opp Bhagwat Vidyapith, Sola, Ahmedabad - 380060",079-27664590,police,Ahmedabad,23.009196,72.579949,23.0215374,72.5800568,city
Vadaj PS,"Vadaj Akhbar Nagar Road, Naranpura Vistar, Ahmedabad - 380013",079-27644949,police,Ahmedabad,23.035313,72.575448,23.0215374,72.5800568,city
Vastrapur PS,"Thaltej Road, Near SAL Hospital, Vastrapur, Ahmedabad - 380015",079-26851902,police,Ahmedabad,23.019947,72.565421,23.0215374,72.5800568,city
Vatva PS,"Near Golden Talkies, Vatva, Ahmedabad - 382440",079-25710074,police,Ahmedabad,23.019468,72.587946,23.0215374,72.5800568,city
Vatva GIDC PS,"Phase-1, Near Bombay Conductor, Vatva GIDC, Ahmedabad - 382445",079-25830004,police,Ahmedabad,23.014668,72.593896,23.0215374,72.5800568,city
Vejalpur PS,"Near APMC Market, Vishala Circle, Vejalpur, Ahmedabad - 380051",079-26810614,police,Ahmedabad,23.028286,72.580873,23.0215374,72.5800568,city
Sarkhej PS,"Near Dholka Circle, Sarkhej, Ahmedabad - 382210",079-26821385,police,Ahmedabad,23.025161,72.575014,23.0215374,72.5800568,city
Sabarmati Riverfront PS,"Riverfront Road (East/West Units), Ahmedabad - 380009",079-25600403,police,Ahmedabad,23.032413,72.567187,23.0215374,72.5800568,city
DCB Crime Branch,"Gayakwadi Haveli, Jamalpur, Ahmedabad - 380001",079-25398549,police,Ahmedabad,23.015035,72.580924,23.0215374,72.5800568,city
Adajan PS,"Behind Gangeshwar Mahadev Temple, Honey Park Rd, Surat - 395009",0261-2732674,police,Surat,21.205165,72.818073,21.2094892,72.8317058,city
Amroli PS,"Near Kosad Fire Station, Amroli, Surat - 394107",0261-2497700,police,Surat,21.20455,72.824355,21.2094892,72.8317058,city
Athwalines PS,"Kamal Street, Chowk Cross Road, Athwalines, Surat - 395001",0261-2463827,police,Surat,21.21011,72.822352,21.2094892,72.8317058,city
Chowk Bazar PS,"Main Road, Chowk Bazar, Surat - 395003",0261-2424185,police,Surat,21.192712,72.823231,21.2094892,72.8317058,city
Dindoli PS,"Dindoli Main Road, Surat - 394210",0261-2279100,police,Surat,21.205127,72.841235,21.2094892,72.8317058,city
Dumas PS,"Sultanabad, Dumas, Surat - 394550",0261-2251010,police,Surat,21.19629,72.829283,21.2094892,72.8317058,city
Ichhapore PS,"Hazira - Adajan Road, Ichhapore, Surat - 394510",0261-2893800,police,Surat,21.206528,72.820577,21.2094892,72.8317058,city
Kapodra PS,"Spinning Mill Three Road, Beside Fire Brigade, Kapodra, Surat - 395006",0261-2577579,police,Surat,21.212589,72.842375,21.2094892,72.8317058,city
Katargam PS,"Paras Road, Beside Cooperative Bank, Katargam, Surat - 395004",0261-2532535,police,Surat,21.195164,72.822754,21.2094892,72.8317058,city
Khatodara PS,"Opposite Jogani Mata Temple, Udhna Canal, Khatodara, Surat - 395002",0261-2633800,police,Surat,21.21455,72.850592,21.2094892,72.8317058,city
Limbayat PS,"Near Maruti Circle, Limbayat, Surat - 395012",0261-2277001,police,Surat,21.206796,72.838508,21.2094892,72.8317058,city
Mahidharpura PS,"Sindhi Market, Begampura, Tower Road, Surat - 395003",0261-2422163,police,Surat,21.191083,72.829966,21.2094892,72.8317058,city
Pandesara PS,"Bhagubhai Cross Road, Pandesara GIDC, Surat - 394221",0261-2891100,police,Surat,21.219695,72.836794,21.2094892,72.8317058,city
Rander PS,"Rander Road, Surat - 395005",0261-2766000,police,Surat,21.209599,72.822724,21.2094892,72.8317058,city
Salabatpura PS,"Ring Road, Opposite Circle, Salabatpura, Surat - 395003",0261-2331100,police,Surat,21.221978,72.818591,21.2094892,72.8317058,city
Sarthana PS,"Near Vraj Chowk, Sarthana, Surat - 395006",0261-2575500,police,Surat,21.194044,72.839306,21.2094892,72.8317058,city
Sachin PS,"Surat-Navsari Road, Sachin, Surat - 394230",0261-2397100,police,Surat,21.228292,72.8356,21.2094892,72.8317058,city
Udhna PS,"Road No 1, Udhna, Surat - 394210",0261-2278100,police,Surat,21.203927,72.837021,21.2094892,72.8317058,city
Umra PS,"Opposite Police Head Quarter, Athwalines, Surat - 395007",0261-2228800,police,Surat,21.20562,72.847458,21.2094892,72.8317058,city
Varachha PS,"Varachha Road, Beside Warehouse, Surat - 395006",0261-2544496,police,Surat,21.215812,72.830442,21.2094892,72.8317058,city
Lalget PS,"Lalget Area, Surat - 395003",0261-2402200,police,Surat,21.210868,72.842772,21.2094892,72.8317058,city
Puna Patiya PS,"Puna Kumbharia Road, Surat - 395010",0261-2472067,police,Surat,21.219367,72.831171,21.2094892,72.8317058,city
Bhestan PS,"Bhestan Railway Station Area, Surat - 395023",0261-2479235,police,Surat,21.207047,72.838379,21.2094892,72.8317058,city
Surat Mahila PS,"Umra PS Building, Maa Thakur Bhai Desai Marg, Surat - 395001",0261-2669494,police,Surat,21.206877,72.818514,21.2094892,72.8317058,city
Raopura PS,"Near Jubilee Baug, Raopura, Vadodara - 390001",0265-2433000,police,Vadodara,22.291171,73.188744,22.2973142,73.1942567,city
Sayajigunj PS,"Behind Railway Station, Sayajigunj, Vadodara - 390020",0265-2361000,police,Vadodara,22.282358,73.201422,22.2973142,73.1942567,city
Karelibaug PS,"Water Works Road, Karelibaug, Vadodara - 390018",0265-2481000,police,Vadodara,22.297612,73.200347,22.2973142,73.1942567,city
Panigate PS,"Panigate Road, Opp Jamnabai Hospital, Mandvi, Vadodara - 390006",0265-2571211,police,Vadodara,22.291722,73.176943,22.2973142,73.1942567,city
Wadi PS,"Wadi Tower Road, Vadodara - 390017",0265-2581000,police,Vadodara,22.298393,73.177105,22.2973142,73.1942567,city
Navapura PS,"Khanderao Market Cross Rd, Navapura, Vadodara - 390001",0265-2411000,police,Vadodara,22.315884,73.189316,22.2973142,73.1942567,city
Makarpura PS,"Makarpura Main Road, GIDC, Vadodara - 390010",0265-2641000,police,Vadodara,22.295621,73.212512,22.2973142,73.1942567,city
Manjalpur PS,"Eva Mall Road, Manjalpur, Vadodara - 390011",0265-2651000,police,Vadodara,22.306391,73.195291,22.2973142,73.1942567,city
Gotri PS,"Gotri Main Road, Vadodara - 390021",0265-2371000,police,Vadodara,22.288751,73.191639,22.2973142,73.1942567,city
Jawaharnagar PS,"Gujarat Refinery Area, Jawaharnagar, Vadodara - 391320",0265-2231000,police,Vadodara,22.307428,73.209195,22.2973142,73.1942567,city
Chhani PS,"Chhani Jakat Naka, Chhani, Vadodara - 391740",0265-2771000,police,Vadodara,22.291576,73.200497,22.2973142,73.1942567,city
Gorwa PS,"Gorwa Industrial Area, Vadodara - 390016",0265-2281000,police,Vadodara,22.308194,73.191745,22.2973142,73.1942567,city
JP Road PS,"J P Road, Old Padra Road, Vadodara - 390015",0265-2351000,police,Vadodara,22.304023,73.204432,22.2973142,73.1942567,city
Bapod PS,"Ajwa Road, Bapod, Vadodara - 390019",0265-2511000,police,Vadodara,22.30906,73.196604,22.2973142,73.1942567,city
Laxmipura PS,"Gotri-Subhanpura Road, Vadodara - 390023",0265-2391000,police,Vadodara,22.295485,73.175255,22.2973142,73.1942567,city
Harni PS,"Harni Airport Road, Vadodara - 390022",0265-2491000,police,Vadodara,22.292059,73.206285,22.2973142,73.1942567,city
Akota PS,"Akota Stadium Road, Akota, Vadodara - 390020",0265-2331000,police,Vadodara,22.284491,73.183304,22.2973142,73.1942567,city
A Division PS,"Next to Khadi Bhandar, Trikon Bagh, Dhebar Rd, Rajkot - 360001",0281-2222233,police,Rajkot,22.288223,70.807357,22.3053263,70.8028377,city
B Division PS,"Pedak Road, Satellite Chowk, Opp Atal Auditorium, Rajkot - 360003",0281-2233344,police,Rajkot,22.2895,70.810867,22.3053263,70.8028377,city
Bhaktinagar PS,"Kotharia Road, Opposite Nilkanth Cinema, Rajkot - 360002",0281-2361000,police,Rajkot,22.319827,70.797038,22.3053263,70.8028377,city
Thorala PS,"Main Road, Bhavnagar Road, Chunara Chowk, Rajkot - 360003",0281-2381000,police,Rajkot,22.31287,70.805333,22.3053263,70.8028377,city
Kuvadava Road PS,"Kuwadwa Road Highway, Rajkot - 360003",0281-2241000,police,Rajkot,22.320339,70.805539,22.3053263,70.8028377,city
Aji Dam PS,"Kotharia Road, Near Ranuja Temple, Rajkot - 360002",0281-2371000,police,Rajkot,22.316926,70.800855,22.3053263,70.8028377,city
Airport Bamanbor PS,"Rajkot-Ahmedabad Highway, Bamanbor Area, Rajkot - 360006",0281-2451000,police,Rajkot,22.301688,70.786428,22.3053263,70.8028377,city
Pradhyuman Nagar PS,"Kashi Vishwanath Plot, Opp Dharam Cinema, Rajkot - 360001",0281-2441000,police,Rajkot,22.30053,70.797922,22.3053263,70.8028377,city
Gandhigram PS,"150 Feet Ring Road, Opp Sterling Hospital, Rajkot - 360007",0281-2571000,police,Rajkot,22.309852,70.819968,22.3053263,70.8028377,city
Gandhigram-2 (Univ) PS,"Munjka, Near Saurashtra University, Rajkot - 360005",0281-2581000,police,Rajkot,22.300605,70.786153,22.3053263,70.8028377,city
Malaviya Nagar PS,"Mavdi Main Road, Alka Society, Chandreshnagar, Rajkot - 360004",0281-2391000,police,Rajkot,22.30805,70.819111,22.3053263,70.8028377,city
Rajkot Taluka PS,"Jamnagar Road, Opposite Pathikashram, Rajkot - 360001",0281-2471000,police,Rajkot,22.313633,70.790751,22.3053263,70.8028377,city
Rajkot Mahila PS,"Racecourse Ring Road, Police Head Quarters, Rajkot - 360001",0281-2459888,police,Rajkot,22.3105,70.799037,22.3053263,70.8028377,city
Lodhavad PS,"Vijay Plot, Bhaktinagar, Rajkot - 360002",0281-2465355,police,Rajkot,22.294456,70.806286,22.3053263,70.8028377,city
Shapar Veraval PS,"Shapar Veraval Industrial Area, Rajkot - 360024",02827-252250,police,Rajkot,22.296645,70.78535,22.3053263,70.8028377,district_fallback
Jasdan PS,"Main Road, Near Highway, Jasdan, Rajkot - 360050",02821-220033,police,Rajkot,22.30319,70.81081,22.3053263,70.8028377,city
Vinchhiya PS,"Near Ajmera High School, Vinchhiya, Jasdan, Rajkot - 360050",02821-235033,police,Rajkot,22.307519,70.787035,22.3053263,70.8028377,city
Gondal PS,"National Highway No 8 A, Near AG Office, Gondal, Rajkot - 360311",02825-220100,police,Rajkot,22.309472,70.815749,22.3053263,70.8028377,city
Dhoraji City PS,"New Dhoraji Area, Dhoraji, Rajkot - 360410",02824-222033,police,Rajkot,22.286576,70.804149,22.3053263,70.8028377,city
Upleta PS,"Kolki Road, Near Bus Stand, Upleta, Rajkot - 360490",02826-221233,police,Rajkot,22.296532,70.807396,22.3053263,70.8028377,city
Bhayavadar PS,"Railway Station Road, Bhayavadar, Rajkot - 360450",02826-224433,police,Rajkot,22.299242,70.786122,22.3053263,70.8028377,city
Jetpur PS,"M G Road, Jetpur, Rajkot - 360370",02823-220133,police,Rajkot,22.294385,70.797828,22.3053263,70.8028377,city
Sector-7 PS,"Sector 7, Gandhinagar - 382007",079-23210108,police,Gandhinagar,23.241848,72.648579,23.2232877,72.6492267,city
Sector-21 PS,"Sector 21, Gandhinagar - 382021",6359624905,police,Gandhinagar,23.217624,72.640862,23.2232877,72.6492267,city
Infocity PS,"Infocity Campus, GH Road, Gandhinagar - 382007",6359624921,police,Gandhinagar,23.238264,72.637776,23.2232877,72.6492267,city
Adalaj PS,"Near Trimandir, SG Highway, Adalaj, Gandhinagar - 382421",6359624942,police,Gandhinagar,23.234373,72.656564,23.2232877,72.6492267,city
Pethapur PS,"Pethapur Town, Gandhinagar - 382610",6359624939,police,Gandhinagar,23.23791,72.644784,23.2232877,72.6492267,city
Kalol City PS,"Navjivan Mill Compound, Kalol, Gandhinagar - 382721",6359624956,police,Gandhinagar,23.239063,72.653454,23.2232877,72.6492267,city
Kalol Taluka PS,"Highway Road, Kalol, Gandhinagar - 382721",6359624967,police,Gandhinagar,23.243179,72.647591,23.2232877,72.6492267,city
Santej PS,"Santej Industrial Area, Kalol, Gandhinagar - 382721",6359624970,police,Gandhinagar,23.223736,72.642977,23.2232877,72.6492267,city
Chiloda PS,"Chiloda Circle, NH-8, Gandhinagar - 382355",6359624924,police,Gandhinagar,23.230486,72.647338,23.2232877,72.6492267,city
Dehgam PS,"Near Station Road, Dehgam, Gandhinagar - 382305",6359624932,police,Gandhinagar,23.21369,72.661601,23.2232877,72.6492267,city
Mansa PS,"Near Bus Stand, Mansa, Gandhinagar - 382845",6359624954,police,Gandhinagar,23.228182,72.644349,23.2232877,72.6492267,city
Dabhoda PS,"Dabhoda Village, Gandhinagar - 382355",6359624929,police,Gandhinagar,23.219555,72.635769,23.2232877,72.6492267,city
Gandhinagar Mahila PS,"SP Office Compound, Gandhinagar - 382028",6359626248,police,Gandhinagar,23.21675,72.667386,23.2232877,72.6492267,city
Gandhinagar Traffic PS,"SP Office Compound, Gandhinagar - 382028",9913737372,police,Gandhinagar,23.220002,72.639349,23.2232877,72.6492267,city
Bhavnagar A Div PS,"42 Jail Road, Near Fatima Convent School, Bhavnagar - 364001",0278-2521250,police,Bhavnagar,21.774997,72.14891,21.7718836,72.1416449,city
Bhavnagar B Div PS,"Ghogha Circle, Ambawadi, Krishna Nagar, Bhavnagar - 364001",0278-2572344,police,Bhavnagar,21.785287,72.141364,21.7718836,72.1416449,city
Bhavnagar C Div PS,"Nawa Para, Bhavnagar - 364001",0278-2523450,police,Bhavnagar,21.783039,72.149427,21.7718836,72.1416449,city
Bhavnagar D Div PS,"Near RTO Circle, Shastrinagar, Bhavnagar - 364001",0278-2521851,police,Bhavnagar,21.779224,72.132215,21.7718836,72.1416449,city
Bharatnagar PS,"Maruti Nagar, Bharatnagar, Bhavnagar - 364002",0278-2561292,police,Bhavnagar,21.771695,72.148398,21.7718836,72.1416449,city
Rupani PS,"Rupani Rd, Sardar Nagar, Bhavnagar - 364001",0278-2422000,police,Bhavnagar,21.785746,72.137748,21.7718836,72.1416449,city
Bordigate PS,"Mokhla Circle, Bordi Gate, Krishna Nagar, Bhavnagar - 364005",0278-2206545,police,Bhavnagar,21.77502,72.160589,21.7718836,72.1416449,city
Takhteshwar PS,"Atabhai Road, Pragati Nagar, Navapara, Bhavnagar - 364001",0278-2512000,police,Bhavnagar,21.779666,72.148152,21.7718836,72.1416449,city
Alka PS,"Shelarasha Road, Madhia, Kumbharwada, Bhavnagar - 364001",0278-2432000,police,Bhavnagar,21.753642,72.137801,21.7718836,72.1416449,city
Bhavnagar Mahila PS,"Nawa Para, Bhavnagar - 364001",0278-2518094,police,Bhavnagar,21.765303,72.126438,21.7718836,72.1416449,city
Vartej PS,"Main Bazar, Vartej, Bhavnagar - 364060",0278-2541633,police,Bhavnagar,21.766264,72.155146,21.7718836,72.1416449,city
Kaliyabid PS,"Bhagwati Circle, Kaliyabid, Bhavnagar - 364002",0278-2562000,police,Bhavnagar,21.77675,72.124448,21.7718836,72.1416449,city
Ruwapari Gate PS,"Diwanpara Rd, Vora Bazar, Bhavnagar - 364001",0278-2412000,police,Bhavnagar,21.757482,72.145316,21.7718836,72.1416449,city
Bortalav PS,"1 Bortalav Lake Area, Bhavnagar - 364002",0278-2521851,police,Bhavnagar,21.765013,72.144505,21.7718836,72.1416449,city
Nilambagh PS,"Jail Road, Devbagh, Bhavnagar - 364002",0278-2521250,police,Bhavnagar,21.779157,72.130184,21.7718836,72.1416449,city
Ghogha Gate PS,"Gangajaliya Talav Rd, Khargate, Darbargadh, Bhavnagar - 364001",0278-2513000,police,Bhavnagar,21.767929,72.135291,21.7718836,72.1416449,city
Tana PS,"Tana Road, Sihor, Bhavnagar - 364240",02846-222033,police,Bhavnagar,21.756896,72.153355,21.7718836,72.1416449,city
Sihor PS,"Rajkot Main Road, Near Vadla Circle, Sihor, Bhavnagar - 364240",02846-222200,police,Bhavnagar,21.762506,72.151458,21.7718836,72.1416449,city
Songadh PS,"Near Dist Co-Op Bank, Songadh, Sihor, Bhavnagar - 364240",02846-224400,police,Bhavnagar,21.782252,72.138769,21.7718836,72.1416449,city
Mahuva PS,"Station Road, Mahuva, Bhavnagar - 364290",02844-222100,police,Bhavnagar,21.766983,72.1251,21.7718836,72.1416449,city
Bagdana PS,"Bagdana Village, Bhavnagar - 364210",02844-245233,police,Bhavnagar,21.770448,72.133247,21.7718836,72.1416449,city
Alang Marine PS,"Alang Shipbreaking Yard, Bhavnagar - 364081",02842-235233,police,Bhavnagar,21.762531,72.155051,21.7718836,72.1416449,city
Botad PS,"Bharvad Vado, Botad, Bhavnagar - 364710",02849-252033,police,Bhavnagar,21.766682,72.144636,21.7718836,72.1416449,city
Bhuj A Div PS,"Near Jubeli Circle, Bhuj, Kachchh - 370001",02832-253050,police,Kachchh,23.577873,69.988449,23.583333,70.0,city
Bhuj B Div PS,"Shekhpir Road, Bhuj, Kachchh - 370001",02832-253150,police,Kachchh,23.581032,69.98979,23.583333,70.0,city
Bhuj Womens PS,"SP Office Campus, Bhuj, Kachchh - 370001",02832-226366,police,Kachchh,23.590201,70.003997,23.583333,70.0,city
Gandhidham A Div PS,"Near Station Road, Gandhidham, Kachchh - 370201",02836-258100,police,Kachchh,23.585012,70.007451,23.583333,70.0,city
Gandhidham B Div PS,"Sector 5, Gandhidham, Kachchh - 370201",02836-233752,police,Kachchh,23.570999,69.99767,23.583333,70.0,city
Gandhidham Womens PS,"Near Sector 5, Gandhidham, Kachchh - 370201",02836-260830,police,Kachchh,23.574499,70.004063,23.583333,70.0,city
Adesar PS,"Highway Road, Adesar, Kachchh - 370155",02806-267880,police,Kachchh,23.572525,70.007072,23.583333,70.0,city
Dudhai PS,"Dudhai Village, Kachchh - 370115",02836-287232,police,Kachchh,23.589409,70.00232,23.583333,70.0,city
Samkhiyari PS,"NH 8A, Samkhiyari, Kachchh - 370150",02837-283542,police,Kachchh,23.601306,70.005052,23.583333,70.0,city
Bhachau PS,"Main Highway, Bhachau, Kachchh - 370140",02837-224036,police,Kachchh,23.580485,70.009678,23.583333,70.0,city
Kandla Marine PS,"Kandla Port Area, Kandla, Kachchh - 370210",02836-270999,police,Kachchh,23.589946,69.995722,23.583333,70.0,city
Khadir PS,"Khadir Bet, Kachchh - 370165",9825084590,police,Kachchh,23.5835,70.019187,23.583333,70.0,city
Anjar PS,"Ganga Naka, Anjar, Kachchh - 370110",02836-242517,police,Kachchh,23.568499,70.0,23.583333,70.0,city
Adipur PS,"Ward 12A, Adipur, Kachchh - 370205",02836-260615,police,Kachchh,23.588795,69.991652,23.583333,70.0,city
Lakadiya PS,"Lakadiya Village, Bhachau, Kachchh - 370145",02837-273332,police,Kachchh,23.583602,69.992675,23.583333,70.0,city
Rapar PS,"Main Road, Rapar, Kachchh - 370165",02830-220013,police,Kachchh,23.580304,70.019344,23.583333,70.0,city
Mankuva PS,"Mankuva Village, Bhuj, Kachchh - 370030",02832-275254,police,Kachchh,23.59329,70.012608,23.583333,70.0,city
Paddhar PS,"Paddhar Village, Bhuj, Kachchh - 370105",02832-270111,police,Kachchh,23.585814,69.993701,23.583333,70.0,city
Khavda PS,"Khavda Village, Bhuj, Kachchh - 370510",02803-268225,police,Kachchh,23.584993,69.992573,23.583333,70.0,city
Mundra PS,"Baroi Road, Mundra, Kachchh - 370415",02838-222121,police,Kachchh,23.598962,70.000737,23.583333,70.0,city
Mundra Marine PS,"Adani Port Area, Mundra, Kachchh - 370421",02838-224077,police,Kachchh,23.581458,70.007995,23.583333,70.0,city
Mandvi PS,"Near Port Office, Mandvi, Kachchh - 370465",02834-223008,police,Kachchh,23.589932,70.00971,23.583333,70.0,city
Mandvi Marine PS,"Coastal Highway, Mandvi, Kachchh - 370465",02834-223358,police,Kachchh,23.568305,70.009648,23.583333,70.0,city
Gadhshisha PS,"Gadhshisha Village, Mandvi, Kachchh - 370445",02834-282257,police,Kachchh,23.581376,69.986073,23.583333,70.0,city
Nakhatrana PS,"Opp Sarkari Govt Colony, Nakhatrana, Kachchh - 370615",02835-222133,police,Kachchh,23.583961,69.983652,23.583333,70.0,city
Nirona PS,"Nirona Village, Nakhatrana, Kachchh - 370675",02835-277729,police,Kachchh,23.581766,69.991939,23.583333,70.0,city
Dayapar PS,"Dayapar Village, Lakhpat, Kachchh - 370630",02839-233333,police,Kachchh,23.578406,70.007359,23.583333,70.0,city
Kothara PS,"Kothara Village, Abdasa, Kachchh - 370645",02831-282233,police,Kachchh,23.599513,69.997147,23.583333,70.0,city
Vayor PS,"Vayor Village, Abdasa, Kachchh - 370511",02831-285335,police,Kachchh,23.588208,70.00615,23.583333,70.0,city
Naliya PS,"Main Road, Naliya, Abdasa, Kachchh - 370655",02831-222122,police,Kachchh,23.591006,70.013507,23.583333,70.0,city
Narayan Sarovar PS,"Narayan Sarovar Temple Area, Kachchh - 370625",02839-266610,police,Kachchh,23.589487,70.0,23.583333,70.0,city
Jakho PS,"Jakhau Village, Abdasa, Kachchh - 370640",02831-287233,police,Kachchh,23.576206,70.003218,23.583333,70.0,city
Jakho Marine PS,"Jakhau Port, Abdasa, Kachchh - 370640",02831-287258,police,Kachchh,23.594249,70.004433,23.583333,70.0,city
Nara PS,"Nara Village, Lakhpat, Kachchh - 370625",02839-265133,police,Kachchh,23.581889,69.986024,23.583333,70.0,city
Jamnagar City A Div,"Lal Bungalow Compound, Jamnagar - 361001",0288-2550243,police,Jamnagar,22.468494,70.042165,22.4732415,70.0552102,city
