Detection_ID,Plate_Number,Confidence,Camera_ID,Camera_Name,Timestamp_PTS,Timestamp_UTC,Watchlist_Flag,Reason
DET-GUJ-1-33,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525748760,2026-09-04 18:12:28.760,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-36,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525748880,2026-09-04 18:12:28.880,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-39,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525749000,2026-09-04 18:12:29.000,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-42,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525749120,2026-09-04 18:12:29.120,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-45,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525749240,2026-09-04 18:12:29.240,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-48,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525749360,2026-09-04 18:12:29.360,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-51,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525749480,2026-09-04 18:12:29.480,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-54,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525749600,2026-09-04 18:12:29.600,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-57,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525749720,2026-09-04 18:12:29.720,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-60,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525749840,2026-09-04 18:12:29.840,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-63,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525749960,2026-09-04 18:12:29.960,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-66,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525750080,2026-09-04 18:12:30.080,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-69,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525750200,2026-09-04 18:12:30.200,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-72,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525750320,2026-09-04 18:12:30.320,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-75,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525750440,2026-09-04 18:12:30.440,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-78,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525750560,2026-09-04 18:12:30.560,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-81,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525750680,2026-09-04 18:12:30.680,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-84,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525750800,2026-09-04 18:12:30.800,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-87,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525750920,2026-09-04 18:12:30.920,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-90,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525751040,2026-09-04 18:12:31.040,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-93,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525751160,2026-09-04 18:12:31.160,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
